AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
SBS1537+577	NGC5987	3	"('234.54167', '57.60361')"	"(234.98904, 58.07953)"	0.101691027	0.788751573	322.0594318	570.666866	454.1827315	3170	-109	48.9	68.8	29.6	64.5	60	33.3	NGC5987	.S..3..	71.6	165	Sb	Sb	0.01004	0.0734	SP	1	1	1	3279	"3174, 3380"	358pm30	9.55E13pm1.07E13	64.4pm2.7	Lya	center is 3277
3C351.0	NGC6310	4	"('256.1725', '60.74194')"	"(256.98946, 60.99017)"	0.013279263	0.014759461	200.0300187	202.6416171	406.3431189	3525.7	-88.3	49.65828781	34.5	8.3	76.1	70	11.9	NGC6310	.S..3*/	77.7	69	Sb: sp	Sb: sp	0.011405	0.3719	SP	0	0	1	3614	"3539, 3677"	194pm13	4.93E13pm4.09E12	39.3pm2.3	Lya	"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131	NGC4517	12	"('187.70833', '1.25583')"	"(188.18996, 0.11503)"	0.270420131	0.252481238	193.1759035	187.8498124	211.0427507	1420.4	-67.6	9.765	32.8	4.1	82.7	x	74.1	NGC4517	.SAS6*/	81.5	83	SA(s)cd: sp    HII	SA(s)cd: sp    HII	0.003764	0.117	SP	1	1	1	1488	"1440, 1550"	144pm3	3.60E13pm7.74E11	29.0pm3.5	"d:Lya,Lya"	"d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p"
PG1302-102	NGC4939	1	"('196.3875', '-10.55556')"	"(196.05996, -10.33961)"	0.253120756	0.773821071	235.4681607	288.883113	264.7658706	3381.8	-66.2	39.118	43.7	30.1	46.4	5	61.2	NGC4939	.SAS4..	59.1	10	SA(s)bc        Sy2	SA(s)bc        Sy2	0.010374	0.2784	SP	1	1	1	3448	"3402, 3492"	71pm5	1.47E13pm1.24E12	29.7pm2.5	"d:Lya, OVI"	"marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY"
PG1211+143	SDSSJ121430.17+141512.6	1	"('183.57375', '14.05361')"	"(183.62574, 14.25351)"	0.000106894	2.42E-14	116.7006809	62.80375785	351.1734606	6929.5	-59.5	97.59845259	15.8	3.8	76.1	40	25.8	0	x	x	x	x	x	0.022114	0.0804	SP	0	0	0	6989	"6942, 7056"	131pm6	3.01E13pm1.62E12	33.3pm2.6	Lya	center is 6999 : ONLY 1 GALAXY
3C273.0	NGC4536	11	"('187.27792', '2.05222')"	"(188.61271, 2.18814)"	0.034644681	0.034362844	197.6231383	197.3783651	358.5279206	2102.6	-53.4	15.321	33.9	14.3	65.1	x	45.8	NGC4536	.SXT4..	64.7	130	SAB(rs)bc;HII  Sbrst	SAB(rs)bc;HII  Sbrst	0.006031	0.1583	SP	0	0	0	2156	"2088, 2248"	57pm2	1.09E13pm5.00E11	61.1pm2.7	"Lya, d:INSTR"	"weak, center is 2168, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178	HIPASSJ2254-18	3	"('343.52458', '-17.58194')"	"(343.6474, -18.00054)"	0.000955218	4.18E-10	121.7484398	68.85950915	319.5117248	2990.5	-51.5	42.12023615	16.8	10.1	53.1	40	55.6	ESO603-G27	.IBS9..	52.9	40	IB(s)m	IB(s)m	0.010898	0.0661	SP	1	0	0	3042	"3002, 3116"	67pm5	1.33E13pm1.01E12	43.2pm2.7	"Lya, d:Lya"	"Lya labeled at 3042, d:Lya at 3055, center is 3059, included after inspection and rounding likelihood : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG0003+158	NGC7814	12	"('1.49708', '16.16361')"	"(0.81204, 16.14542)"	0.25215757	0.146762729	171.056491	144.2112166	197.2689177	789.3	-43.7	17.171	27.5	11.5	65.3	x	46.6	NGC7814	.SAS2*/	65.4	135	SA(s)ab: sp    LINER	SA(s)ab: sp    LINER	0.003502	0.4509	SP	1	1	1	833	"810, 896"	131pm15	3.10E13pm4.45E12	30.0pm2.0	d:Lya	"weak, crowded field, center is 853; p"
MRK290	NGC5987	2	"('233.96792', '57.9025')"	"(234.98904, 58.07953)"	0.099109626	0.935761605	322.0594318	570.666866	486.0114481	3170	-37	48.9	68.8	29.6	64.5	60	11.9	NGC5987	.S..3..	71.6	165	Sb	Sb	0.01004	0.0296	SP	1	1	1	3207	"3166, 3308"	319pm4	1.11E14pm2.43E12	39.8pm3.1	done	center is 3237
SDSSJ080838.80+051440.0	UGC04239	3	"('122.16167', '5.24444')"	"(121.99208, 5.20667)"	0.153958991	0.852669184	278.7260738	416.8226385	378.3226481	8893.1	-33.9	125.2551175	55.8	40.2	43.9	115	37.6	0	x	x	x	S	S	0.02923	0.361	RT	1	1	1	8927	"8870, 8974"	130pm19	3.37E13pm5.54E12	25.6pm4.4	done	center is 8922
PG1211+143	SDSSJ121352.97+141312.4	1	"('183.57375', '14.05361')"	"(183.47074, 14.22013)"	9.16E-08	9.48E-44	91.46877343	36.98149537	368.052424	7710.5	-24.5	108.5978983	11.1	7.2	49.5	20	51	0	x	x	x	x	x	0.024722	0.0804	SP	0	0	0	7735	"7634, 7850"	156pm8	3.27E13pm1.79E12	66.2pm2.9	Lya	center is 7742 : ONLY 1 GALAXY
