AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
SBS1108+560	x	0	"('167.88375', '55.79028')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.765	DG	0	0	0	5417	"5408, 5490"	150pm40	3.43E13pm1.31E13	29.8pm2.3	d:Lya	"d:Lya marked at 5417, center is 5449 : NO GALAXIES"
PG1216+069	x	0	"('184.83708', '6.64389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.3313	SP	0	0	0	5674	"5620, 5756"	136pm8	2.92E13pm1.85E12	47.4pm2.3	d:Lya	"d:Lya labeled at 5674, blended with Clll - not likely, there are no other metal lines in this system, center is 5688 : NO GALAXIES"
PG1216+069	x	0	"('184.83708', '6.64389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.3313	SP	0	0	0	7178	"7104, 7252"	159pm8	3.69E13pm2.08E12	42.1pm2.4	"Lya, d:Lya"	"Lya labeled at 7178, d:Lya at 7176, center is 7178 : NO GALAXIES"
IRAS_Z06229-6434	x	0	"('95.78208', '-64.60528')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.1289	SP	0	0	0	1279	"1235, 1325"	64pm7	1.31E13pm1.59E12	30.3pm2.3	d:Lya	"center is 1280, only HIPASSJ0608-63 at 1554 km/s with b = 736 kpc : NO GALAXIES"
IRAS_Z06229-6434	x	0	"('95.78208', '-64.60528')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.1289	SP	0	0	0	3689	"3595, 3755"	284pm6	8.98E13pm2.51E12	39.0pm2.6	d:Lya	"center is 3675, no galaxies within 1000 km/s and 800 km/s : NO GALAXIES"
SDSSJ080908.13+461925.6	x	0	"('122.28375', '46.32389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.6563	SP	0	0	0	3122	"3040, 3174"	207pm12	5.51E13pm3.92E12	37.1pm2.2	d:Lya	"d:Lya marked at 3122, center is 3107. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES"
SDSSJ080908.13+461925.6	x	0	"('122.28375', '46.32389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.6563	SP	0	0	0	3205	"3174, 3272"	72pm11	1.49E13pm2.57E12	38.3pm2.0	d:Lya	"d:Lya marked at 3205, center is 3223. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES"
SDSSJ080908.13+461925.6	x	0	"('122.28375', '46.32389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.6563	SP	0	0	0	5977	"5944, 6010"	49pm9	1.02E13pm1.95E12	23.2pm2.4	d:Lya	"possibly blended with MgII, center is 5977 : NO GALAXIES"
SDSSJ080908.13+461925.6	x	0	"('122.28375', '46.32389')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.6563	SP	0	0	0	6774	"6668, 6864"	543pm10	2.55E14pm1.41E13	55.9pm1.8	d:Lya	"d:Lya labeled at 6774, center is 6766. This galaxy is ~500km/s away, and MCG+08-15-040 has correct velocity but b = 734 : NO GALAXIES"
TON1009	x	0	"('137.27542', '32.60861')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.809	RT	0	0	0	7915	"7870, 7960"	72pm16	1.49E13pm3.66E12	31.5pm3.1	Lya	"Lya labeled at 7944 _ I see two separate lines, at 7915 & 7995 : NO GALAXIES"
TON1009	x	0	"('137.27542', '32.60861')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.809	RT	0	0	0	7995	"7960, 8030"	66pm13	1.45E13pm3.16E12	26.0pm1.4	Lya	"Lya labeled at 7944 _ I see two separate lines, at 7915 & 7995 : NO GALAXIES"
RX_J1330.8+3119	x	0	"('202.72167', '31.32556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.241	DG	0	0	0	2822	"2779, 2865"	58pm13	1.19E13pm2.93E12	36.8pm3.4	no	"Not marked, possibly weak Lya. This galaxy is tiny, far away, and has no info (phot redshifts also). Center is 2822 : NO GALAXIES"
RX_J1330.8+3119	x	0	"('202.72167', '31.32556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.241	DG	0	0	0	10180	"10046, 10314"	817pm13	4.14E14pm2.43E13	83.2pm1.6	f:Lya	"f:Lya labeled at 10191, I measure 10180. I don't have galaxy information out this far : NO GALAXIES"
SDSSJ140428.30+335342.0	x	0	"('211.11792', '33.895')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.549	RT	0	0	0	1521	"1470, 1582"	162pm23	4.21E13pm7.11E12	30.2pm3.5	working	center is 1526 : NO GALAXIES
SDSSJ140428.30+335342.0	x	0	"('211.11792', '33.895')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.549	RT	0	0	0	1717	"1634, 1794"	349pm24	1.21E14pm1.45E13	41.3pm2.4	working	center is 1714 : NO GALAXIES
SDSSJ140428.30+335342.0	x	0	"('211.11792', '33.895')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.549	RT	0	0	0	2827	"2800, 2856"	45pm18	9.51E12pm4.13E12	22.3pm5.3	working	center is 2828 : NO GALAXIES
SDSSJ140428.30+335342.0	x	0	"('211.11792', '33.895')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.549	RT	0	0	0	4621	"4606, 4642"	34pm15	7.44E12pm3.52E12	11.9pm4.1	working	center is 4624 : NO GALAXIES
SDSSJ140428.30+335342.0	x	0	"('211.11792', '33.895')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.549	RT	0	0	0	5769	"5712, 5834"	314pm21	9.92E13pm1.22E13	38.1pm2.2	working	center is 5773 : NO GALAXIES
RX_J0714.5+7408	x	0	"('108.65083', '74.13639')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.371	SP	0	0	0	5317	"5294, 5380"	39pm8	7.55E12pm1.57E12	37.0pm1.9	done	"very weak, center is 5337 : NO GALAXIES"
RX_J0714.5+7408	x	0	"('108.65083', '74.13639')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.371	SP	0	0	0	9558	"9562, 9592"	14pm4	2.87E12pm8.92E11	9.9pm4.1	done	"very weak, center is 9577 : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	2392	"2304, 2424"	65pm10	1.29E13pm2.06E12	49.1pm1.6	d:Lya	"d:Lya labeled at 2392, I measure 2364. Nothing with b<500kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	2580	"2560, 2648"	83pm8	1.79E13pm1.86E12	28.7pm2.8	"d:Lya, Lya"	"d:Lya labeled at 2599, Lya at 2580, I measure 2604. Nothing with b<500 kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	2700	"2650, 2740"	50pm8	9.90E12pm1.73E12	32.1pm2.6	d:Lya	"d:Lya labeled at 2700, I measure 2695. Nothing with b<500kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	2976	"2937, 3037"	64pm8	1.32E13pm1.85E12	29.8pm2.7	"d:Lya, Lya"	"d:Lya labeled at 2998, Lya at 2976, I measure 2987. Nothing with b<500kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	3138	"3098, 3208"	50pm9	9.88E12pm1.89E12	35.4pm2.3	"d:Lya, Lya"	"d:Lya labeled at 3156, I measure 3153. Nothing with b<500kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	4336	"4286, 4396"	95pm8	2.03E13pm1.92E12	34.8pm2.9	"d:Lya, Lya"	"d:Lya labeled at 4357, Lya at 4336, I measure 4341. Nothing with b<500kpc : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	7126	"7078, 7200"	156pm7	3.64E13pm1.96E12	37.7pm2.2	"d:Lya, Lya"	"d:Lya labeled at 7144, Lya at 7126, I measure 7139 : NO GALAXIES"
PG1121+423	x	0	"('171.16333', '42.02917')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.234	RT	0	0	0	10120	"10028, 10212"	232pm7	5.41E13pm1.99E12	55.9pm2.5	d:Lya	"d:Lya labeled at 10135, I measure 10120. I don't have galaxy information out this far : NO GALAXIES"
3C351.0	x	0	"('256.1725', '60.74194')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.3719	SP	0	0	0	5192	"5118, 5266"	206pm11	5.12E13pm3.33E12	44.5pm2.7	Lya	Lya labeled at 5192. SDSSJ170349.45+601806.1 at b=589kpc : NO GALAXIES
HE1228+0131	x	0	"('187.70833', '1.25583')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.117	SP	0	0	0	5000	"4942, 5058"	20pm3	3.81E12pm5.19E11	41.4pm2.7	d:Lya	"d:Lya labeled at 4991, I measure 5000, very weak : NO GALAXIES"
3C273.0	x	0	"('187.27792', '2.05222')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.1583	SP	0	0	0	7862	"7810, 7912"	42pm1	8.34E12pm3.04E11	30.9pm2.9	"Lya, d:Lya"	center is 7861 : NO GALAXIES
PG1626+554	x	0	"('246.98417', '55.37556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.133	SP	0	0	0	8263	"8210, 8296"	70pm5	1.47E13pm1.22E12	27.2pm2.3	"d:Lya, Lya"	"d:Lya labeled at 8246, Lya at 8263 _ I measure 8253, no galaxy within 2000 kpc and 1000 km/s : NO GALAXIES"
PG1307+085	x	0	"('197.44583', '8.32972')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.155	SP	0	0	0	3570	"3550, 3608"	33pm6	6.68E12pm1.38E12	19.6pm2.6	d:Lya	d:Lya labeled at 3570. No galaxy with b<500kpc : NO GALAXIES
PKS2005-489	x	0	"('302.35583', '-48.83139')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.071	SP	0	0	0	4967	"4885, 5023"	280pm6	8.15E13pm2.59E12	41.4pm2.6	done	center is 4954. several galaxies with b>500 kpc : NO GALAXIES
PKS2005-489	x	0	"('302.35583', '-48.83139')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.071	SP	0	0	0	5070	"5016, 5156"	315pm6	1.18E14pm3.75E12	35.6pm3.3	done	center is 5086. several galaxies with b>500 kpc : NO GALAXIES
HE0238-1904	x	0	"('40.13583', '-18.86417')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.631	SP	0	0	0	1625	"1563, 1651"	30pm6	5.83E12pm1.20E12	30.0pm5.7	d:Lya	"d:Lya labeled at 1625, I measure 1607 : NO GALAXIES"
HE0238-1904	x	0	"('40.13583', '-18.86417')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.631	SP	0	0	0	2177	"2102, 2204"	31pm5	5.97E12pm1.03E12	35.9pm2.4	d:Lya	"d:Lya labeled at 2177, I measure 2153. No galaxies nearby : NO GALAXIES"
HE0238-1904	x	0	"('40.13583', '-18.86417')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.631	SP	0	0	0	2517	"2407, 2635"	109pm8	2.16E13pm1.65E12	74.3pm3.4	d:Lya	"d:Lya labeled at 2517, I measure 2521. No galaxies nearby : NO GALAXIES"
HE0238-1904	x	0	"('40.13583', '-18.86417')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.631	SP	0	0	0	2961	"2862, 3052"	65pm7	1.25E13pm1.37E12	66.6pm3.3	d:Lya	"d:Lya labeled at 2961, I measure 2957. No galaxies nearby : NO GALAXIES"
HE0238-1904	x	0	"('40.13583', '-18.86417')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.631	SP	0	0	0	4631	"4508, 4672"	147pm5	3.20E13pm1.12E12	54.7pm3.6	d:Lya	"d:Lya labeled at 4631, I measure 4590. No galaxies nearby : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	1795	"1785, 1899"	36pm7	6.98E12pm1.41E12	47.9pm2.6	"d:Lya, Lya"	"center is 1842, very weak : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	3593	"3550, 3624"	35pm5	6.83E12pm1.05E12	29.7pm1.8	"d:Lya, OVI"	"weak, I don't believe the OVI label, no galaxies within 2000kpc and 1000 km/s, center is 3587 : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	7923	"7890, 7942"	16pm4	3.13E12pm8.26E11	18.8pm2.3	d:Lya	"center is 7916, extremely weak, group of large galaxies with 1000<b<2000kpc at this velocity : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	8103	"8057, 8155"	61pm5	1.25E13pm1.17E12	31.0pm2.6	"d:Lya,Lya"	"group of large galaxies with 1000<b<2000kpc at this velocity, center is 8106 : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	9038	"8992, 9080"	96pm5	2.12E13pm1.19E12	27.7pm1.8	"d:Lya, Lya"	"center is 9036, group of large galaxies with 1000<b<2000kpc at this velocity : NO GALAXIES"
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	9517	"9500, 9538"	18pm3	3.55E12pm6.98E11	13.4pm2.3	Lya	center is 9518 : NO GALAXIES
RBS1795	x	0	"('328.7125', '-44.23472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.344	SP	0	0	0	10154	"10105, 10203"	57pm5	1.15E13pm1.15E12	33.5pm2.1	"d:Lya, Lya"	 : NO GALAXIES
H1101-232	x	0	"('165.90708', '-23.49194')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.186	SP	0	0	0	5995	"5938, 6026"	46pm9	9.22E12pm1.94E12	30.4pm2.4	d:Lya	"center is 5982, blended with MgII : NO GALAXIES"
1H0717+714	x	0	"('110.47208', '71.34333')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.5003	SP	0	0	0	3839	"3785, 3905"	45pm5	8.76E12pm1.04E12	41.2pm2.5	d:Lya	"d:Lya labeled at 3839 - seems wrong, weak; p : NO GALAXIES"
1H0717+714	x	0	"('110.47208', '71.34333')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.5003	SP	0	0	0	5292	"5223, 5339"	46pm5	8.88E12pm9.27E11	41.0pm2.5	d:Lya	"center is 5281, no galaxy with b<2000kpc at this velocity : NO GALAXIES"
1H0717+714	x	0	"('110.47208', '71.34333')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.5003	SP	0	0	0	6271	"6219, 6335"	150pm4	3.51E13pm1.18E12	35.6pm2.1	d:Lya	"center is 6277, no galaxy with b<2000kpc at this velocity : NO GALAXIES"
1H0717+714	x	0	"('110.47208', '71.34333')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.5003	SP	0	0	0	7795	"7768, 7836"	49pm3	1.00E13pm7.06E11	24.4pm2.0	d:Lya	"center is 7802, no galaxy with b<2000kpc at this velocity : NO GALAXIES"
PG0003+158	x	0	"('1.49708', '16.16361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.4509	SP	0	0	0	1250	"1209, 1301"	79pm9	1.66E13pm2.16E12	31.9pm1.9	d:Lya	"d:Lya labeled at 1250, center is 1255, weak, NGC7814(;LINER) at 789km/s; p : NO GALAXIES"
PG0003+158	x	0	"('1.49708', '16.16361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.4509	SP	0	0	0	4764	"4730, 4792"	30pm5	6.15E12pm1.07E12	19.2pm2.7	d:Lya	d:Lya labeled at 4764 _ I measure 4761. No galaxies nearby : NO GALAXIES
