AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
3C66A,5965,UGC01832,2,"('35.665', '43.0355555556')","(35.62966, 43.0653)",1.717339271,1.706691348,191.9550398,185.2785066,55.88860003,x,5771.7,5913,-52,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,?,TRUE,TRUE,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01832,3,"('35.665', '43.0355555556')","(35.62966, 43.0653)",0.945682072,0.939818612,191.9550398,185.2785066,55.88860003,x,5771.7,5913,-163,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,?,TRUE,FALSE,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES : NO GALAXIES : NO GALAXIES"
CSO395,966,UGC07207,9,"('182.810833333', '36.9608333333')","(183.07817, 37.01481)",0.867347738,0.040511435,103.0851275,47.95798161,83.41857704,x,1324.4,1051,85,21.700001,x,13.2,6.5,60.7,x,x,0,x,x,x,IB(s)m V,IB(s)m V,0.003506,0.169,DG,?,TRUE,FALSE,966,"886, 984",194pm14,5.70E13 pm 5.91E12,30.6pm 6.6,"f:Lya, working",center is 935 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
CSO395,1025,UGC07207,8,"('182.810833333', '36.9608333333')","(183.07817, 37.01481)",1.021640531,0.047718028,103.0851275,47.95798161,83.41857704,x,1324.4,1051,26,21.700001,x,13.2,6.5,60.7,x,x,0,x,x,x,IB(s)m V,IB(s)m V,0.003506,0.169,DG,?,TRUE,FALSE,1025,"974, 1120",343pm15,1.21E14 pm 9.85E12,41.6pm 4.1,"f:Lya, working",center is 1047 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
H1101-232,1188,NGC3513,3,"('165.907083333', '-23.4919444444')","(165.942, -23.2455)",1.698584137,1.398952087,141.5470874,95.54752221,57.05105132,x,1418.6,1194,6,13.153,x,20.9,7.9,67.7,120,67.4,NGC3513,.SBT5..,37.4,75,SB(s)c         HII,SB(s)c         HII,0.003983,0.186,SP,?,FALSE,FALSE,1188,"1056, 1298",633pm20,2.39E14 pm 1.65E13,69.4pm 2.1,d:Lya,"center is 1177, two large galaxies very nearby: NGC3511 and NGC3513 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
H1101-232,3580,MCG-04-26-019,2,"('165.907083333', '-23.4919444444')","(165.70883, -23.59161)",0.325791093,0.217815076,172.7694299,147.3690571,179.1539784,x,3846.2,3623,43,49.52,x,27.9,11.7,65.2,35,26.3,ESO502-G12,PSXT2..,59.1,30,(R:)SA:(s)ab   HII,(R:)SA:(s)ab   HII,0.012086,0.186,SP,?,TRUE,TRUE,3580,"3466, 3710",573pm12,2.67E14 pm 1.50E13,57.3pm 1.9,d:Lya,"strong, center is 3588, blended with H2:1, OVI?; p"
H1101-232,5995,x,0,"('165.90708', '-23.49194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.186,SP,FALSE,FALSE,FALSE,5995,"5938, 6026",46pm9,9.22E12 pm 1.94E12,30.4pm 2.4,d:Lya,"center is 5982, blended with MgII : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,1625,MCG-03-07-044,1,"('40.1358333333', '-18.8641666667')","(39.54871, -20.167)",4.82E-17,1.68E-186,69.7898511,20.53959591,424.5263026,x,1220.1,1474,-151,17.18389701,x,7.5,4.5,53.1,x,11.9,ESO545-G40,.LAT0?.,53.9,35,SA(rs)0^0^?,SA(rs)0^0^?,0.004917,0.631,SP,?,FALSE,FALSE,1625,"1563, 1651",30pm6,5.83E12 pm 1.20E12,30.0pm 5.7,d:Lya,"d:Lya labeled at 1625, I measure 1607 : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY"
HE0238-1904,2177,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.631,SP,FALSE,FALSE,FALSE,2177,"2102, 2204",31pm5,5.97E12 pm 1.03E12,35.9pm 2.4,d:Lya,"d:Lya labeled at 2177, I measure 2153. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES"
