AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK1014,7080,NGC0768,3,"('29.9591666667', '0.394722222222')","(29.67056, 0.52922)",0.023093339,0.116958824,253.3839055,338.8085831,486.1529329,x,6752.3,7021,-59,87.483,x,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,TRUE,TRUE,TRUE,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
MRK290,3105,NGC5987,2,"('233.967916667', '57.9025')","(234.98904, 58.07953)",0.081843848,0.772750688,322.0594318,570.666866,486.0128811,x,3170,3010,-95,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,3207,NGC5987,3,"('233.967916667', '57.9025')","(234.98904, 58.07953)",0.038869627,0.366998027,322.0594318,570.666866,486.0128811,x,3170,3010,-197,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
MRK876,3478,UGC10294,1,"('243.488333333', '65.7194444444')","(243.34246, 65.41842)",0.063147734,0.015074328,165.4351886,134.1071512,274.1125942,x,3632.1,3504,26,51.15615908,x,26.2,17,49.5,4,7.3,0,x,x,x,Sm?,Sm?,0.011688,,,TRUE,TRUE,TRUE,3478,"3322, 3588",280pm3,7.92E13 pm 9.77E11,52.3pm 2.7,"Lya, d:Lya",center is 3455 : ONLY 1 GALAXY
MS1228.6+1219,1046,UGC07654,72,"('187.804583333', '12.0519444444')","(187.70593, 12.39112)",0.288249742,0.299973685,214.2092562,235.1730023,103.6317277,x,1606.9,1307,261,16.839,x,38.1,32.8,30.7,153,11.1,NGC4486,.E+0+P.,37.4,-99,E+0-1 pec;NLRG Sy,E+0-1 pec;NLRG Sy,0.00436,,,FALSE,FALSE,TRUE,1046,"994, 1108",167pm19,4.24E13 pm 5.94E12,33.6pm 3.1,Lya,center is 1051 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MS1228.6+1219,1286,UGC07654,59,"('187.804583333', '12.0519444444')","(187.70593, 12.39112)",1.565291367,1.628956253,214.2092562,235.1730023,103.6317277,x,1606.9,1307,21,16.839,x,38.1,32.8,30.7,153,11.1,NGC4486,.E+0+P.,37.4,-99,E+0-1 pec;NLRG Sy,E+0-1 pec;NLRG Sy,0.00436,,,FALSE,FALSE,TRUE,1286,"1191, 1365",522pm16,2.01E14 pm 1.51E13,57.3pm 1.4,Lya,center is 1278 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MS1228.6+1219,866,NGC4429,71,"('187.804583333', '12.0519444444')","(186.86045, 11.10771)",0.02619119,0.033103179,203.6161637,210.6225629,385.2508324,x,1215.8,916,50,16.7,x,35.4,12,70.1,97,52.6,NGC4429,.LAR+..,62.8,99,SA(r)0+;LINER  HII,SA(r)0+;LINER  HII,0.003055,,,FALSE,FALSE,TRUE,866,"825, 901",94pm18,2.23E13 pm 5.05E12,23.0pm 4.0,Lya,center is 863 : VIRIAL VS CUSTOM RESULT MISMATCH
PG0003+158,833,NGC7814,13,"('1.49708333333', '16.1636111111')","(0.81204, 16.14542)",0.081496361,0.0474329,171.056491,144.2112166,197.2698855,x,789.3,1050,217,17.171,x,27.5,11.5,65.3,x,46.6,NGC7814,.SAS2*/,65.4,135,SA(s)ab: sp    LINER,SA(s)ab: sp    LINER,0.003502,0.4509,SP,TRUE,FALSE,TRUE,833,"810, 896",131pm15,3.10E13 pm 4.45E12,30.0pm 2.0,d:Lya,"weak, crowded field, center is 853; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG0832+251,6980,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.041038958,0.007323711,164.562778,132.5745074,293.7726057,x,7133.8,6964,-16,100.4755207,x,26,13,60,170,55.2,0,x,x,x,Spiral,Spiral,0.023229,,,TRUE,TRUE,FALSE,6980,"6896, 7058",133pm14,2.78E13 pm 3.14E12,58.7pm 2.0,Lya,center is 6977 : ONLY 1 GALAXY
PG0832+251,7201,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.010142117,0.001809937,164.562778,132.5745074,293.7726057,x,7133.8,6964,-237,100.4755207,x,26,13,60,170,55.2,0,x,x,x,Spiral,Spiral,0.023229,,,TRUE,TRUE,FALSE,7201,"7160, 7254",48pm10,9.58E12 pm 2.19E12,32.1pm 3.1,Lya,center is 7207 : ONLY 1 GALAXY
PG1001+054,4092,UGC05432,4,"('151.08375', '5.21694444444')","(151.22461, 5.06264)",0.135765655,0.050607942,163.6882845,131.047747,217.2557343,x,4237.9,3995,-97,59.68819618,x,25.8,21.2,34.9,60,77.7,0,x,x,x,E:,E:,0.013326,,,TRUE,TRUE,TRUE,4092,"4020, 4174",222pm10,5.41E13 pm 2.85E12,46.9pm 2.1,Lya,center is 4097
PG1216+069,1903,NGC4260,28,"('184.837083333', '6.64388888889')","(184.84267, 6.09868)",0.030796046,0.045486853,208.3540511,221.4224379,384.4538181,x,2255.7,1958,55,40.4,x,36.6,17.6,61.3,45,45.6,NGC4260,.SBS1..,59.9,58,SB(s)a;Sy      LINER,SB(s)a;Sy      LINER,0.006531,0.3313,SP,FALSE,FALSE,TRUE,1903,"1461, 2345",2269pm33,1.11E15 pm 2.79E13,230.0pm 3.6,"d:Lya, Lya","DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
