AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SBS1537+577,9824,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9824,"9795, 9845",40pm15,8.29E12 pm 3.39E12,18.6pm 2.9,Lya,center is 9820 : NO GALAXIES : NO GALAXIES
3C66A,4303,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303 : NO GALAXIES : NO GALAXIES"
3C66A,5965,UGC01832,2,"('35.665', '43.03556')","(35.62966, 43.0653)",1.71736408,1.706717812,191.9550398,185.2785066,55.88383776,x,5771.7,5913,-52,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,TRUE,TRUE,TRUE,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01832,3,"('35.665', '43.03556')","(35.62966, 43.0653)",0.945695734,0.939833185,191.9550398,185.2785066,55.88383776,x,5771.7,5913,-163,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,FALSE,TRUE,FALSE,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES : NO GALAXIES"
MRC2251-178,2258,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",2.96E-19,7.68E-264,63.89771317,16.955707,417.3445625,x,1993.2,2271,13,28.07265578,x,6.6,3.7,55.9,105,5.9,0,x,x,x,Sa,Sa,0.007575,0.0661,SP,FALSE,FALSE,FALSE,2258,"2202, 2330",80pm5,1.62E13 pm 1.18E12,42.1pm 2.0,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283, center is 2266 : ONLY 1 GALAXY : ONLY 1 GALAXY"
MRC2251-178,3042,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000287902,1.26E-10,121.7484398,68.85950915,319.5117248,x,2990.5,3267,225,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,FALSE,FALSE,FALSE,3042,"3002, 3116",67pm5,1.33E13 pm 1.01E12,43.2pm 2.7,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055, center is 3059 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,3203,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000921355,4.03E-10,121.7484398,68.85950915,319.5117248,x,2990.5,3267,64,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,FALSE,FALSE,FALSE,3203,"3120, 3326",332pm5,9.28E13 pm 1.83E12,52.7pm 2.4,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218, center is 3223 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,4373,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4373,"4308, 4376",22pm3,4.36E12 pm 6.54E11,22.4pm 3.0,Lya,"Lya labeled at 4323, d:INSTR labeled at 4362.5, center is 4342 : NO GALAXIES : NO GALAXIES"
MRC2251-178,4710,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4710,"4667, 4719",23pm3,4.51E12 pm 6.80E11,16.2pm 3.9,d:Lya,"d:Lya labeled at 4710, center is 4693 : NO GALAXIES : NO GALAXIES"
MRC2251-178,9051,MCG-03-58-009,1,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.361786521,1.426052762,319.1465428,559.5058883,320.0509932,x,8753.8,9030,-21,128,x,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,TRUE,TRUE,TRUE,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY : ONLY 1 GALAXY"
MRC2251-178,9733,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,9733,"9650, 9810",195pm4,4.63E13 pm 9.91E11,44.2pm 1.9,"Lya, d:Lya","Lya labeled at 9733, d:Lya at 9745, center is 9730 : NO GALAXIES : NO GALAXIES"
SBS1503+570,706,NGC5907,15,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.09153223,0.765027678,294.7210858,470.5795629,452.0909184,x,843,667,-39,16.3,x,60.5,6.6,83.7,x,46.8,NGC5907,.SAS5*/,83.7,155,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225,0.3589,SP,TRUE,FALSE,TRUE,706,"631, 757",302pm24,9.17E13 pm 1.24E13,42.1pm 1.7,Lya,"Lya marked 705, center is 694 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SBS1503+570,8920,x,0,"('226.2315', '56.8223')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3589,SP,FALSE,FALSE,FALSE,8920,"8780, 9036",587pm16,2.14E14 pm 1.18E13,69.6pm 2.1,Lya,"Lya marked 8920, center is 8908; two galaxies with 500 < v < 800 km/s = SDSSJ150606.34+563934.6, SDSSJ150659.06+564203.2 : NO GALAXIES : NO GALAXIES"
SDSSJ080838.80+051440.0,1448,UMaDwarf,1,"('122.16167', '5.24444')","(158.72, 51.92)",-99,-99,-99,-99,97.97122801,x,1313,1101,-347,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673,0.361,RT,FALSE,FALSE,FALSE,1448,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,center is 1449 : NO GALAXIES : ONLY 1 GALAXY
SDSSJ080838.80+051440.0,2474,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2474,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,center is 2457 : NO GALAXIES : NO GALAXIES
SDSSJ080838.80+051440.0,2596,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2596,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,center is 2590 : NO GALAXIES : NO GALAXIES
SDSSJ080838.80+051440.0,4158,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4158,"4080, 4236",189pm23,4.30E13 pm 6.24E12,56.5pm 2.8,no,"Not labeled, looks like Lya to me : NO GALAXIES : NO GALAXIES"
SDSSJ080838.80+051440.0,4351,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4351,"4272, 4386",187pm20,4.69E13 pm 6.39E12,39.2pm 1.6,done,center is 4329 : NO GALAXIES : NO GALAXIES
SDSSJ080838.80+051440.0,4848,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4848,"4769, 4895",158pm22,3.73E13 pm 6.01E12,41.7pm 3.9,done,center is 4832 : NO GALAXIES : NO GALAXIES
SDSSJ080838.80+051440.0,8740,UGC04239,2,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.156364767,0.865993061,278.7260738,416.8226385,378.3226481,x,8893.1,8763,23,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,TRUE,TRUE,TRUE,8740,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,8927,UGC04239,4,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.08088404,0.447959083,278.7260738,416.8226385,378.3226481,x,8893.1,8763,-164,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,TRUE,FALSE,TRUE,8927,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,9760,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,9760,"9728, 9788",58pm15,1.25E13 pm 3.52E12,22.2pm 1.7,done,center is 9758 : ONLY 1 GALAXY : NO GALAXIES
SDSSJ080838.80+051440.0,10195,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,10195,"10048, 10344",780pm24,3.02E14 pm 1.97E13,80.6pm 2.2,done,center is 10196 : NO GALAXIES : NO GALAXIES
2dFGRS_S393Z082,1239,NGC1097,7,"('41.25333', '-30.12306')","(41.57937, -30.27489)",1.648113279,1.801897356,273.1866721,399.0239191,111.9452231,x,1029.8,1271,32,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,TRUE,TRUE,TRUE,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
2dFGRS_S393Z082,3012,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,3012,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES : NO GALAXIES
2dFGRS_S393Z082,4052,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,4052,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES : NO GALAXIES
PG1211+143,2116,IC3061,11,"('183.57375', '14.05361')","(183.7685, 14.02897)",0.316374622,0.076154419,151.6674085,111.0242811,139.3340207,x,2615.6,2316,200,41.9,x,23.1,6,74.9,120,22.6,IC3061,.SB.5?/,78.8,122,SBc? sp;LINER  HII,SBc? sp;LINER  HII,0.007725,0.0804,SP,FALSE,TRUE,FALSE,2116,"2044, 2162",105pm8,2.21E13 pm 1.89E12,41.8pm 1.4,Lya,"STIS only, center is 2103 ; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1211+143,4933,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,4933,"4870, 4970",150pm6,3.60E13 pm 1.95E12,33.5pm 2.9,Lya,"center is 4920, blended with Lya:5033 : NO GALAXIES : NO GALAXIES"
PG1211+143,5011,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,5011,"4964, 5106",234pm7,5.97E13 pm 2.40E12,44.4pm 3.5,Lya,"center is 5035, blended with Lya:4920 : NO GALAXIES : NO GALAXIES"
PG1211+143,6606,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.000115116,2.60E-14,116.7006809,62.80375785,351.1734606,x,6929.5,6630,24,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,FALSE,FALSE,FALSE,6606,"6554, 6660",98pm6,2.17E13 pm 1.51E13,31.0pm 2.3,Lya,center is 6607 : VIRIAL AND CUSTOM INCLUDE MISMATCH : ONLY 1 GALAXY
PG1211+143,6989,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",4.66E-06,1.05E-15,116.7006809,62.80375785,351.1734606,x,6929.5,6630,-359,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,FALSE,FALSE,FALSE,6989,"6942, 7056",131pm6,3.01E13 pm 1.62E12,33.3pm 2.6,Lya,center is 6999 : ONLY 1 GALAXY : ONLY 1 GALAXY
PG1211+143,7735,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",6.74E-09,6.98E-45,91.46877343,36.98149537,368.052424,x,7710.5,7411,-324,108.5978983,x,11.1,7.2,49.5,20,51,0,x,x,x,x,x,0.024722,0.0804,SP,FALSE,FALSE,FALSE,7735,"7634, 7850",156pm8,3.27E13 pm 1.79E12,66.2pm 2.9,Lya,center is 7742 : ONLY 1 GALAXY : ONLY 1 GALAXY
TON488,1250,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.892140751,0.060366391,92.03657223,37.48236919,58.03988156,x,1620.3,1378,128,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,TRUE,TRUE,TRUE,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,1375,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",1.343453629,0.090904319,92.03657223,37.48236919,58.03988156,x,1620.3,1378,3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,TRUE,TRUE,TRUE,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
TON488,4101,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4101,"4050, 4152",55pm10,1.10E13 pm 2.07E12,43.7pm 2.7,d:Lya,d:Lya marked at 4101 is extremely weak/questionable : NO GALAXIES : NO GALAXIES
TON488,4786,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4786,"4746, 4836",44pm9,8.77E12 pm 1.82E12,31.1pm 3.1,done,center is 4791 : NO GALAXIES : NO GALAXIES
TON488,5737,SDSSJ100952.34+301916.5,1,"('152.50292', '30.05583')","(152.46808, 30.32125)",9.96E-12,1.71E-62,89.75577295,35.49242173,417.7809072,x,6362.4,6120,383,89.61072681,x,10.8,4.7,63.9,112,61.5,UGC5481,.S..1*.,72.4,91,x,x,0.020413,0.2564,SP,FALSE,FALSE,FALSE,5737,"5702, 5758",34pm7,6.89E12 pm 1.45E12,16.0pm 3.5,done,center is 5730 : NO GALAXIES : ONLY 1 GALAXY
SDSSJ135341.03+361948.0,6172,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6172,"6074, 6254",274pm10,7.25E13 pm 3.28E12,50.2pm 2.3,done,center is 6164 : NO GALAXIES : NO GALAXIES
SDSSJ135341.03+361948.0,6419,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6419,"6388, 6450",48pm7,9.82E12 pm 1.51E12,23.6pm 2.6,no,"not marked, but looks like a small Lya line here : NO GALAXIES : NO GALAXIES"
SDSSJ135341.03+361948.0,6531,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6531,"6450, 6600",450pm6,2.05E14 pm 9.45E12,45.3pm 2.0,done,center is 6525 : NO GALAXIES : NO GALAXIES
SDSSJ135341.03+361948.0,6642,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6642,"6600, 6720",233pm8,7.37E13 pm 3.53E12,32.2pm 3.3,done,center is 6660 : NO GALAXIES : NO GALAXIES
MRK1014,5694,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",3.30E-05,1.80E-10,141.0794316,94.86259537,446.1410499,x,5538,5807,113,78.0001575,x,20.8,16.8,35.9,18,11.6,0,x,x,x,Compact,Compact,0.01937,0.163,SP,FALSE,FALSE,FALSE,5694,"5604, 5706",45pm9,8.84E12 pm 1.92E12,35.3pm 2.3,d:Lya,"center is 5655, extremely weak : ONLY 1 GALAXY : ONLY 1 GALAXY"
MRK1014,7080,NGC0768,3,"('29.95917', '0.39472')","(29.67056, 0.52922)",0.023091224,0.116952834,253.3839055,338.8085831,486.1589792,x,6752.3,7021,-59,87.483,x,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,TRUE,TRUE,TRUE,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
MRK1014,7563,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",1.17E-08,8.43E-23,121.7484398,68.85950915,476.5102478,x,7638.2,7906,343,107.5800139,x,16.8,6.6,67,148,58.9,0,x,x,x,x,x,0.026371,0.163,SP,FALSE,FALSE,FALSE,7563,"7466, 7658",416pm10,1.58E14 pm 6.54E12,46.3pm 1.9,d:Lya,"center is 7562, strong, but far away from galaxy; p : ONLY 1 GALAXY : ONLY 1 GALAXY"
MRK1014,8421,x,0,"('29.95917', '0.39472')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.163,SP,FALSE,FALSE,FALSE,8421,"8356, 8488",169pm11,3.98E13 pm 3.05E12,39.3pm 2.4,d:Lya,center is 8422 : NO GALAXIES : NO GALAXIES
RX_J1503.2+6810,7205,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,7205,"7124, 7264",180pm16,4.11E13 pm 4.49E12,43.1pm 3.0,Lya,"Lya marked at 7205, center is 7194 : NEEDS TO BE IDENTIFIED : NO GALAXIES : NO GALAXIES"
RX_J1503.2+6810,8231,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8231,"8208, 8256",29pm10,6.20E12 pm 2.21E12,13.3pm 4.1,no,"weak, center is 8232 : NEEDS TO BE IDENTIFIED : NO GALAXIES : NO GALAXIES"
RX_J1503.2+6810,8835,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8835,"8746, 8894",266pm15,7.45E13 pm 5.61E12,43.1pm 3.1,Lya,"Lya marked at 8845, center is 8820, blended : NEEDS TO BE IDENTIFIED : NO GALAXIES : NO GALAXIES"
