AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SDSSJ080838.80+051440.0,1448,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,1448,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,center is 1449 : NO GALAXIES
SDSSJ080838.80+051440.0,2474,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2474,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,center is 2457 : NO GALAXIES
SDSSJ080838.80+051440.0,2596,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2596,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,center is 2590 : NO GALAXIES
SDSSJ080838.80+051440.0,4158,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4158,"4080, 4236",189pm23,4.30E13 pm 6.24E12,56.5pm 2.8,no,"Not labeled, looks like Lya to me : NO GALAXIES"
SDSSJ080838.80+051440.0,4351,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4351,"4272, 4386",187pm20,4.69E13 pm 6.39E12,39.2pm 1.6,done,center is 4329 : NO GALAXIES
SDSSJ080838.80+051440.0,4848,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4848,"4769, 4895",158pm22,3.73E13 pm 6.01E12,41.7pm 3.9,done,center is 4832 : NO GALAXIES
SDSSJ080838.80+051440.0,8740,UGC04239,2,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.088184065,0.48838872,278.7260738,416.8226385,378.3226481,x,8893.1,153.1,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,TRUE,TRUE,TRUE,8740,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,8927,UGC04239,3,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.153958991,0.852669184,278.7260738,416.8226385,378.3226481,x,8893.1,-33.9,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,TRUE,TRUE,TRUE,8927,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922
SDSSJ080838.80+051440.0,9760,2MASXJ08083956+0517256,1,"('122.16167', '5.24444')","(122.16482, 5.29055)",0.008344214,0.000304786,106.2959138,51.26472471,106.4638288,x,9371,-389,131.9857487,x,13.8,12.4,25.8,75,71.1,0,x,x,x,x,x,0.03082,0.361,RT,TRUE,TRUE,TRUE,9760,"9728, 9788",58pm15,1.25E13 pm 3.52E12,22.2pm 1.7,done,center is 9758 : ONLY 1 GALAXY
SDSSJ080838.80+051440.0,10195,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,10195,"10048, 10344",780pm24,3.02E14 pm 1.97E13,80.6pm 2.2,done,center is 10196 : NO GALAXIES
2dFGRS_S393Z082,1239,NGC1097,5,"('41.25333', '-30.12306')","(41.57937, -30.27489)",0.566156445,0.618984032,273.1866721,399.0239191,111.9452231,x,1029.8,-209.2,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,TRUE,TRUE,TRUE,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
2dFGRS_S393Z082,3012,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,3012,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES
2dFGRS_S393Z082,4052,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,4052,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES
PG1211+143,2116,NGC4189,8,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.005278733,0.002595877,180.8044945,162.6763412,314.0232624,x,2414.5,298.5,28.08,x,29.8,17.3,54.5,95,83.9,NGC4189,.SXT6$.,43.6,85,SAB(rs)cd?     HII,SAB(rs)cd?     HII,0.007055,0.0804,SP,TRUE,TRUE,TRUE,2116,"2044, 2162",105pm8,2.21E13 pm 1.89E12,41.8pm 1.4,Lya,"STIS only, center is 2103 ; p"
PG1211+143,4933,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,4933,"4870, 4970",150pm6,3.60E13 pm 1.95E12,33.5pm 2.9,Lya,"center is 4920, blended with Lya:5033 : NO GALAXIES"
PG1211+143,5011,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,5011,"4964, 5106",234pm7,5.97E13 pm 2.40E12,44.4pm 3.5,Lya,"center is 5035, blended with Lya:4920 : NO GALAXIES"
PG1211+143,6606,SDSSJ121430.17+141512.6,2,"('183.57375', '14.05361')","(183.62574, 14.25351)",8.53E-06,1.93E-15,116.7006809,62.80375785,351.1734606,x,6929.5,323.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,FALSE,FALSE,FALSE,6606,"6554, 6660",98pm6,2.17E13 pm 1.51E13,31.0pm 2.3,Lya,center is 6607 : VIRIAL AND CUSTOM INCLUDE MISMATCH
